user_id,monthly_income,num_active_bnpl_plans,total_bnpl_amount,average_emi,bnpl_income_ratio,password,Emi_delayed
USR_00001,33019,0,0,0.0,0.0,QDt^$+8W-)ys,0
USR_00002,90426,2,25852,12926.0,0.14294561298741512,uzwoI#Q^o.<8,0
USR_00003,55863,1,16930,16930.0,0.3030628501870648,ozv7uK__tbH{,1
USR_00004,156355,1,16287,16287.0,0.10416679991046017,#okmvF8^!dTe,0
USR_00005,164351,0,0,0.0,0.0,S6z(m(@86`Qu,0
USR_00006,61999,2,6434,3217.0,0.05188793367634962,-&4!AXP[F.7G,0
USR_00007,77780,1,11658,11658.0,0.1498842890203137,e+[>d1rUV-\!,0
USR_00008,141278,2,19974,9987.0,0.07069041181217174,1dxJiLuo)+-S,0
USR_00009,196297,3,12018,4006.0,0.02040785136808,QGPqYta@`{c),0
USR_00010,184024,2,15916,7958.0,0.04324435943137852,{:|Vj*)OaD3C,0
USR_00011,115706,1,11581,11581.0,0.10008988297927505,"@]~L""S,p8LLi",0
USR_00012,183735,2,20572,10286.0,0.05598280131711432,"Ej(k@+760|""e",0
USR_00013,137019,0,0,0.0,0.0,L9U'?8A%.[s8,0
USR_00014,194001,2,18036,9018.0,0.0464842964726986,!#W<l7w{Q;(^,0
USR_00015,91173,1,29748,29748.0,0.3262808068178079,X3`ca\)ISAHI,1
USR_00016,115260,3,56184,18728.0,0.1624848169356238,"5]!kz;~*g,)6",0
USR_00017,185863,2,6822,3411.0,0.01835222717808278,mc1GnA|rh(|0,0
USR_00018,193173,0,0,0.0,0.0,W71dB4![5z&I,0
USR_00019,84443,3,44679,14893.0,0.17636749049654796,"""6G0U%YQAQCh",0
USR_00020,192871,0,0,0.0,0.0,8ZY?[NXlB(YP,0
USR_00021,150899,0,0,0.0,0.0,",aMrw5++TSpl",0
USR_00022,159771,3,39348,13116.0,0.08209249488330173,#fXUX$*d{t;x,0
USR_00023,151385,1,13626,13626.0,0.09000891766027017,C~9c$ng:X%5X,0
USR_00024,159670,1,23408,23408.0,0.14660236738272686,aA^W.QoT01M[,0
USR_00025,126362,3,53937,17979.0,0.14228169861192447,"14""f-BM0f}ch",0
USR_00026,43807,2,19254,9627.0,0.219759399182779,r}d^5^WTwkr#,1
USR_00027,191298,1,5964,5964.0,0.031176489038045353,0}W>v=ncv=KT,0
USR_00028,18558,2,36180,18090.0,0.9747817652764307,~>3~3NO}3wf-,1
USR_00029,65113,2,40203,20101.5,0.3087171532566461,R<8X@Dj8m80=,1
USR_00030,67999,3,68466,22822.0,0.33562258268503947,eMlf\B|bJ34l,1
USR_00031,182415,1,18418,18418.0,0.10096757393854672,giZb)?Gha`_j,0
USR_00032,73219,2,12858,6429.0,0.08780507791693413,Ga-k3TV\wXM8,0
USR_00033,181258,2,26316,13158.0,0.07259265797923402,R4KH_])iyp#A,0
USR_00034,183038,2,38152,19076.0,0.10421879609698532,")\{""9SknZ\7l",0
USR_00035,179841,2,16128,8064.0,0.04483960832068327,"""}@'PTXjlH?~",0
USR_00036,68218,2,57237,28618.5,0.4195153771731801,&'etGC3:>Nhb,1
USR_00037,34229,2,29956,14978.0,0.4375821671681907,2VkH_e5R66q2,1
USR_00038,90209,1,56910,56910.0,0.6308683169085124,"\e5fwaI,&v%x",1
USR_00039,112137,1,11861,11861.0,0.10577240339941321,"Qg]\],j<[|{V",0
USR_00040,53084,1,8965,8965.0,0.16888327933087183,B>Wrg(7}n(q=,0
USR_00041,96780,2,39304,19652.0,0.20305848315767722,Z]&e(CVa=6hH,1
USR_00042,162878,1,11248,11248.0,0.06905782241923403,d3`(*U`+R|^_,0
USR_00043,186389,2,25383,12691.5,0.06809146462505834,2agUP<LuFd%~,0
USR_00044,25589,4,9620,2405.0,0.09398569697917074,"'n0#\mB""PrxA",0
USR_00045,16657,2,9150,4575.0,0.2746593023953893,.*X(;P!v%NO6,1
USR_00046,113300,1,18635,18635.0,0.1644748455428067,Ep;gPu7Z)JZl,0
USR_00047,132229,2,14974,7487.0,0.05662146730293657,"7ph0'\R""H-}h",0
USR_00048,67227,2,21873,10936.5,0.16268017314471864,IrO~G^qUn<Gv,0
USR_00049,18164,1,10503,10503.0,0.578231667033693,@`YA7Ra\CO)N,1
USR_00050,108078,1,18321,18321.0,0.16951646033420306,/&EHjO*PcCj$,0
USR_00051,56247,2,33816,16908.0,0.30060269881060325,[:V6}$0vw/%v,1
USR_00052,165673,0,0,0.0,0.0,N!F*DVKdLYNX,0
USR_00053,65599,3,13170,4390.0,0.06692175185597342,NTEoD?E%Mj6D,0
USR_00054,150624,1,6816,6816.0,0.04525175270873168,Fdt6_3S@rs}?,0
USR_00055,155489,0,0,0.0,0.0,(g6Q`h3}*FAf,0
USR_00056,83207,1,18587,18587.0,0.22338264809451128,6<vS~giSnw?R,1
USR_00057,87055,3,14450,4816.67,0.05532904485669979,bL!X}uXGZbm~,0
USR_00058,117266,0,0,0.0,0.0,rk@8t1%l=UN\,0
USR_00059,93270,3,44487,14829.0,0.15899002894821487,"oO]q""(B0/ylA",0
USR_00060,126426,1,8688,8688.0,0.0687200417635613,J%L&*t}#3G]],0
USR_00061,149794,2,15000,7500.0,0.05006876109857538,w?$1l'|tzYxo,0
USR_00062,110632,3,18984,6328.0,0.057198640537999855,"/pe,SVmu\XL!",0
USR_00063,73819,2,66700,33350.0,0.4517807068640865,LbuTs:VRC+][,1
USR_00064,179648,4,18516,4629.0,0.025767055575347347,"j3ZR~KBNE,6q",0
USR_00065,56938,3,43830,14610.0,0.25659489269029473,o8;eQIL~.Q\0,1
USR_00066,195100,1,7147,7147.0,0.036632496155817526,"x\Uwo""Q2V&9\",0
USR_00067,58461,1,15410,15410.0,0.2635945331075418,AB:3L+*y\QsZ,1
USR_00068,108474,2,6189,3094.5,0.028527573427733835,k3.d8aLF?]';,0
USR_00069,186541,2,19660,9830.0,0.052696190113701545,"jBiAF+'Z,iQU",0
USR_00070,98136,3,35802,11934.0,0.12160674981658107,M>bz)lY'Z+!|,0
USR_00071,35435,1,10334,10334.0,0.2916325666713701,kYb0%@(C1O.P,1
USR_00072,173458,0,0,0.0,0.0,h<q1iela9-|i,0
USR_00073,177793,1,13383,13383.0,0.0752729297553897,MHapnD9dsCvR,0
USR_00074,69786,0,0,0.0,0.0,kD\D~k2E~%bY,0
USR_00075,28704,2,25478,12739.0,0.4438057413600892,P8YjJo>@#km{,1
USR_00076,148195,1,16604,16604.0,0.11204156685448227,N)n\ms3WYM9r,0
USR_00077,127752,1,7402,7402.0,0.05794038449495898,!rxotJ#?^fA5,0
USR_00078,171488,0,0,0.0,0.0,#DcsYjADT(|k,0
USR_00079,147886,2,2690,1345.0,0.009094843325264055,hgMZ\aDlnuJC,0
USR_00080,93537,3,17826,5942.0,0.06352566364112597,%Os2.#NFpo1e,0
USR_00081,65258,1,36920,36920.0,0.5657543902663275,xAv8G>q]=]L\,1
USR_00082,162580,2,31089,15544.5,0.0956113913150449,}@V9Y$!?yss},0
USR_00083,128710,1,12353,12353.0,0.09597544868308601,:j)ou[m}<}L6,0
USR_00084,50699,3,28272,9424.0,0.18588137833093354,Yc^|d#>P3~(l,0
USR_00085,61335,0,0,0.0,0.0,(0h+*jU#jM]G,0
USR_00086,61806,0,0,0.0,0.0,F1G&.NYuRA8b,0
USR_00087,50739,4,51564,12891.0,0.254064920475374,"~!l'V""5]TK4z",1
USR_00088,49785,2,66292,33146.0,0.6657828663251983,U`~Tt')J>Qx$,1
USR_00089,178052,0,0,0.0,0.0,.nh4\zP9ZOtM,0
USR_00090,100016,2,73878,36939.0,0.3693309070548712,kpXRO*{_=v)9,1
USR_00091,147681,3,4050,1350.0,0.009141324882686331,y_&Uk^`Z5p#b,0
USR_00092,81253,3,31500,10500.0,0.12922599780931165,-%~ei=G%>gj=,0
USR_00093,176081,1,52884,52884.0,0.3003390485060853,}vWc}o_lJSBq,1
USR_00094,142581,1,14015,14015.0,0.09829500424320212,"O/Z`E<?Ot""yj",0
USR_00095,125966,3,17202,5734.0,0.0455202197418351,Ik<E3eR5iNAr,0
USR_00096,172005,2,35648,17824.0,0.10362489462515624,y9Jsar{HIg&3,0
USR_00097,92154,2,25474,12737.0,0.13821429346528638,"rTGxX""KG:Su""",0
USR_00098,123297,2,35590,17795.0,0.14432630153207296,VamZHI]4`LqY,0
USR_00099,127138,3,57342,19114.0,0.15034057480847582,XSSOP]PJa$bP,0
USR_00100,65772,2,30572,15286.0,0.23240892781122666,"KIY'jJE$:8S,",1
USR_00101,55149,3,42807,14269.0,0.25873542584634357,$C9q)Nije1jL,1
USR_00102,101700,1,38716,38716.0,0.3806882989183874,"f5%jol-nn,#Z",1
USR_00103,173598,1,1549,1549.0,0.00892291385845459,vt$aZRJm$994,0
USR_00104,111758,2,30904,15452.0,0.1382630326240627,\a1CNi}+^gJL,0
USR_00105,143447,3,77284,25761.33,0.17958779200680391,"Qb?G;&,FaU9$",0
USR_00106,62947,1,4588,4588.0,0.07288671421989928,Rf24(zed%S<|,0
USR_00107,193296,1,3536,3536.0,0.01829318765002897,"""|:a.m|90eX=",0
USR_00108,60865,2,18596,9298.0,0.15276431446644212,"I,HVg}ws.qyE",0
USR_00109,119501,1,52356,52356.0,0.43812185672086423,#7JES@6`JWdW,1
USR_00110,75410,1,11411,11411.0,0.15131945365336164,H2>+<ba>Q&'A,0
USR_00111,118754,1,17650,17650.0,0.14862657257860787,9/`OT4d3VYPY,0
USR_00112,170888,2,20360,10180.0,0.05957118112447919,U+Zx^%._uYZ*,0
USR_00113,130700,1,10252,10252.0,0.07843917368018363,}H/uybM5o!$B,0
USR_00114,88914,2,7092,3546.0,0.0398812335515217,QZPogHSw3QCc,0
USR_00115,16881,0,0,0.0,0.0,:n1/9t/2L2S{,0
USR_00116,185639,2,46800,23400.0,0.12605109917635843,fAt3cAD?5r7_,0
USR_00117,62365,1,8016,8016.0,0.1285336326465165,UsIN#=tSuv)\,0
USR_00118,94211,2,2802,1401.0,0.014870874950908069,8:BX;+]A&kn2,0
USR_00119,168903,2,15939,7969.5,0.04718388660947408,uc4#7p#|BSqL,0
USR_00120,162531,1,12644,12644.0,0.07779438999329359,"MATn49IO,{#Y",0
USR_00121,188388,3,52413,17471.0,0.09273945261906279,"p""T^Q$+x~[ru",0
USR_00122,151949,1,17303,17303.0,0.11387373395020697,H)%H8P7D/ix|,0
USR_00123,54553,2,14558,7279.0,0.13342987553388447,=x9I&t~uj$+v,0
USR_00124,150994,1,19589,19589.0,0.12973363179993908,Me`RpqfG'By7,0
USR_00125,150758,0,0,0.0,0.0,"vJ2O]QHS,Lqr",0
USR_00126,47766,2,28539,14269.5,0.2987375957794247,8>snL!{mTHVi,1
USR_00127,46422,3,17808,5936.0,0.12787040627288784,0$q((Yq)BtP\,0
